,Restuarantid,Restaurant,Restaurant_Type,Price,Cuisine,Location,Area,Link,Timing,Dining_Review,Dining_Rating,Delivery_Rating,Delivery_Review
110,111,Kari Theory - Namma Bar & Kitchen,"South Indian, North Indian, Street Food, Biryani, Continental, Asian, Italian, Bar Food",3500,South Indian," Radisson Bangalore City Centre, Ulsoor, Bangalore",Radisson Bangalore City Centre,https://www.zomato.com/bangalore/kari-theory-namma-bar-kitchen-ulsoor-bangalore/info,24 Hours (Today),162,4.2,0.0,1
111,112,Proxy,"Finger Food, Street Food, Pasta, Bar Food, Desserts",1200,Finger Food," Mahadevapura, Bangalore",Mahadevapura,https://www.zomato.com/bangalore/proxy-mahadevapura-bangalore/info,12noon – 12:30am (Today),1137,4.4,4.1,104
112,113,Nevermind - Bar & Social,"Bar Food, North Indian, Chinese, Continental, Burger",1800,Bar Food," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/nevermind-bar-social-indiranagar-bangalore/info,12noon – 1am (Today),2862,4.1,3.6,125
113,114,Brooks And Bonds Brewery,"Continental, American, North Indian, Italian, Fast Food, Beverages, Desserts",2000,Continental," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/brooks-and-bonds-brewery-koramangala-5th-block-bangalore/info,12noon – 1am (Today),1200,4.2,3.9,71
114,115,Omega IX Cocktail Bar And Global Kitchen,"North Indian, Continental, Asian, Sushi, Italian, Desserts, Beverages",1800,North Indian," Sahakara Nagar, Bangalore",Sahakara Nagar,https://www.zomato.com/bangalore/omega-ix-cocktail-bar-and-global-kitchen-sahakara-nagar-bangalore/info,12:15pm – 11:30pm (Today),1760,4.2,4.3,79
115,116,Hashtag 88,"Asian, Chinese, Salad, North Indian, Fast Food, Biryani, Desserts",1200,Asian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/hashtag-88-marathahalli-bangalore/info,12noon – 12midnight (Today),2523,4.3,0.0,0
116,117,Geometry Gastropub,"Continental, North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",1600,Continental," New BEL Road, Bangalore",New BEL Road,https://www.zomato.com/bangalore/geometry-gastropub-new-bel-road-bangalore/info,12noon – 1am (Today),2078,4.4,0.0,0
117,118,The Groot,"Italian, North Indian, Chinese, Burger, Pasta, Pizza, Salad, Desserts",1200,Italian," Bhartiya Mall of Bengaluru, Bangalore",Bhartiya Mall of Bengaluru,https://www.zomato.com/bangalore/the-groot-jakkur-bangalore/info,12noon – 12midnight (Today),805,4.0,3.6,34
118,119,Foo Brigade Road,"Chinese, Sushi, Asian, Japanese, Desserts",2000,Chinese," Forum Rex Walk, Bangalore",Forum Rex Walk,https://www.zomato.com/bangalore/foo-brigade-road-brigade-road-bangalore/info,11am – 11:30pm (Today),707,4.6,4.4,342
119,120,The Reservoire,"North Indian, Biryani, Asian, Italian, Continental, Bar Food, Desserts, Beverages",2000,North Indian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/info,11am – 1am (Today),7465,4.4,4.3,869
120,121,Mezera Brewery & Kitchen,Continental,1600,Continental," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/mezera-brewery-kitchen-jp-nagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",410,4.2,0.0,0
121,122,Gawky Goose,"Italian, Biryani, North Indian, Fast Food, Seafood, Asian, Desserts, Beverages",2200,Italian," Old Airport Road, Bangalore",Old Airport Road,https://www.zomato.com/bangalore/gawky-goose-airport-road-bangalore/info,12noon – 11:30pm (Today),2007,4.4,3.8,899
122,123,Pasta Street,"Pasta, Pizza, Italian, Salad, Desserts, Beverages",1800,Pasta," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/pasta-street-jp-nagar-bangalore/info,11am – 11:30pm (Today),4761,4.5,4.1,2461
123,124,TOY BOY,"Bar Food, North Indian, Pizza, Oriental",2000,Bar Food," Majestic, Bangalore",Majestic,https://www.zomato.com/bangalore/toy-boy-majestic-bangalore/info,"12midnight – 1am, 12noon – 11:45pm (Today)",269,4.5,0.0,0
124,125,Peepai,"North Indian, Pizza, Chinese, European, Bar Food, Biryani, Desserts, Beverages",2500,North Indian," Hebbal, Bangalore",Hebbal,https://www.zomato.com/bangalore/peepai-3-hebbal-bangalore/info,12noon – 12midnight (Today),2329,4.5,4.1,722
125,126,Tales Of Flamingo,"Continental, Asian, North Indian, Desserts",1500,Continental," Bannerghatta Road, Bangalore",Bannerghatta Road,https://www.zomato.com/bangalore/tales-of-flamingo-bannerghatta-road-bangalore/info,12noon – 12midnight (Today),310,4.5,0.0,0
126,127,Tim Hortons,"Cafe, Coffee, Beverages, Desserts, Sandwich, Fast Food",1000,Cafe," Koramangala 8th Block, Bangalore",Koramangala 8th Block,https://www.zomato.com/bangalore/tim-hortons-koramangala-8th-block-bangalore/info,"12midnight – 4am, 8am – 12midnight (Today)",488,4.2,4.3,711
127,128,VYANA - World Cuisine,"Italian, Oriental, Continental, Chinese, Salad, Pizza, North Indian, Desserts",1700,Italian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/vyana-world-cuisine-jp-nagar-bangalore/info,Opens tomorrow at 12noon,976,4.0,3.8,129
128,129,Deck Of Brews,"Continental, North Indian, Italian, Asian, Desserts, Pizza, Pasta, South Indian",1500,Continental," Kadubeesanahalli, Bangalore",Kadubeesanahalli,https://www.zomato.com/bangalore/deck-of-brews-kadubeesanahalli-bangalore/info,12noon – 12midnight (Today),1892,4.3,0.0,0
129,130,JULIET,"Asian, Continental, Sushi, Thai, Japanese, Desserts",2500,Asian," 1 MG Road Mall, MG Road, Bangalore",1 MG Road Mall,https://www.zomato.com/bangalore/juliet-mg-road-bangalore/info,6pm – 1am (Today),511,4.2,0.0,0
130,131,Bologna,"Italian, Pasta, Pizza, Desserts",1500,Italian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/bologna-indiranagar-bangalore/info,Opens tomorrow at 12noon,3671,4.9,4.4,1010
131,132,Brother Barley Brewing Company,"Finger Food, Continental, North Indian, Chinese, Italian, Beverages, Desserts",1800,Finger Food," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/brother-barley-brewing-company-hsr-bangalore/info,12noon – 11:45pm (Today),2759,4.2,3.8,125
132,133,Communiti,"American, Continental, European, Italian, Oriental, Burger, Beverages",1800,American," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/communiti-brigade-road-bangalore/info,"12midnight – 1am, 11:30am – 12midnight (Today)",20200,4.5,0.0,0
133,134,Rumi,"Awadhi, Mughlai, North Indian, Kebab, Desserts",1100,Awadhi," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/rumi-indiranagar-bangalore/info,"12noon – 4pm, 6pm – 12midnight (Today)",779,4.0,4.1,2921
134,135,Shift Lounge & Bar,"Finger Food, Continental, North Indian, Salad, Seafood, Mughlai",1400,Finger Food," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/shift-lounge-bar-hsr-bangalore/info,10:30am – 12midnight (Today),5256,4.2,4.1,344
135,136,Hydra Club & Kitchen,"Continental, Biryani, North Indian, South Indian, Japanese, Chinese",1200,Continental," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/hydra-club-kitchen-koramangala-5th-block-bangalore/info,11am – 11:45pm (Today),347,4.3,0.0,3
136,137,Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",2000,North Indian," Nexus Shantiniketan, Whitefield, Bangalore",Nexus Shantiniketan,https://www.zomato.com/bangalore/punjab-grill-whitefield-bangalore/info,11am – 11:30pm (Today),4346,4.3,3.9,3943
137,138,Suku Japanese And Thai Restaurant,"Japanese, Thai, Sushi, Salad, Desserts, Beverages",800,Japanese," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/suku-japanese-and-thai-restaurant-hsr-bangalore/info,Opens tomorrow at 12noon,728,4.6,4.1,443
138,139,Vapour Brewpub And Diner,"North Indian, Continental, Italian, European, Biryani, Salad, Desserts, Beverages",2200,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/vapour-brewpub-and-diner-sarjapur-road-bangalore/info,12noon – 1am (Today),8477,4.3,3.4,392
139,140,Plan B,"American, Continental, Burger, Pizza, Tex-Mex, Fast Food",1600,American," Koramangala 7th Block, Bangalore",Koramangala 7th Block,https://www.zomato.com/bangalore/plan-b-koramangala-7th-block-bangalore/info,12noon – 1am (Today),2908,4.1,4.2,470
140,141,Hitchki,"North Indian, Chinese, Continental, Biryani, Finger Food, Bar Food, Desserts, Beverages",2000,North Indian," Phoenix Marketcity Bangalore, Whitefield, Bangalore",Phoenix Marketcity Bangalore,https://www.zomato.com/bangalore/hitchki-kr-puram-bangalore/info,12noon – 12:30am (Today),1736,4.3,3.8,696
