,Restuarantid,Restaurant,Restaurant_Type,Price,Cuisine,Location,Area,Link,Timing,Dining_Review,Dining_Rating,Delivery_Rating,Delivery_Review
141,142,The Fixx,"North Indian, Continental, Chinese, Seafood, Pasta, Pizza, Biryani, Beverages",1800,North Indian," Koramangala 4th Block, Bangalore",Koramangala 4th Block,https://www.zomato.com/bangalore/the-fixx-1-koramangala-4th-block-bangalore/info,11am – 12:30am (Today),1129,4.1,4.0,9
142,143,The Druid Garden,"North Indian, Asian, Continental, Italian, Chinese, Fast Food",2000,North Indian," Sahakara Nagar, Bangalore",Sahakara Nagar,https://www.zomato.com/bangalore/the-druid-garden-sahakara-nagar-bangalore/info,12noon – 1am (Today),5704,4.2,4.1,5606
143,144,Yuki,"Asian, Japanese, Sushi, Thai, Chinese, Salad, Desserts",1600,Asian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/yuki-indiranagar-bangalore/info,12noon – 11:15pm (Today),520,4.5,4.4,293
144,145,The 13th Floor,"North Indian, Asian, Kebab, Chinese, Salad, Beverages, Desserts",2500,North Indian," Barton Centre, Bangalore",Barton Centre,https://www.zomato.com/bangalore/the-13th-floor-mg-road-bangalore/info,12noon – 12midnight (Today),5999,4.3,4.1,257
145,146,Badmaash,"North Indian, South Indian, Mughlai, Kebab, Chinese, Biryani, Desserts",1800,North Indian," Lulu Mall, Bangalore",Lulu Mall,https://www.zomato.com/bangalore/badmaash-vijay-nagar-bangalore/info,6pm – 12midnight (Today),478,4.4,0.0,0
146,147,Cocobolo,"Bar Food, North Indian, Continental, Italian, Chinese, BBQ, Desserts, Beverages",1000,Bar Food," New BEL Road, Bangalore",New BEL Road,https://www.zomato.com/bangalore/cocobolo-new-bel-road-bangalore/info,12noon – 12midnight (Today),645,4.3,0.0,0
147,148,Hitchki,"Bar Food, Continental, North Indian, Asian, Biryani, Desserts",1900,Bar Food," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/hitchki-sarjapur-road-bangalore/info,"12midnight – 12:45am, 11am – 12midnight (Today)",712,4.1,3.7,646
148,149,AB's - Absolute Barbecues,"Biryani, BBQ, Kebab, North Indian, Desserts",1600,Biryani," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/abs-absolute-barbecues-marathahalli/info,Opens tomorrow at 11am,16200,4.5,3.7,2923
149,150,Daysie - All Day Casual Bar,"North Indian, Italian, Continental, Asian, Chinese, Bar Food, Desserts",1300,North Indian," MG Road, Bangalore",MG Road,https://www.zomato.com/bangalore/daysie-all-day-casual-bar-mg-road-bangalore/info,12noon – 11:30pm (Today),1151,4.5,4.0,121
150,151,Geist Brewing Co.,"Continental, Italian, North Indian, Modern Indian, Bar Food, Beverages, Asian, American",1800,Continental," Bhartiya Mall of Bengaluru, Bangalore",Bhartiya Mall of Bengaluru,https://www.zomato.com/bangalore/geist-brewing-co-jakkur-bangalore/info,Opens tomorrow at 12noon,573,4.3,4.0,12
151,152,Chapter One Bar | Maiin,"North Indian, South Indian, Chinese, Italian, Fast Food, Finger Food, Desserts, Beverages",1400,North Indian," New BEL Road, Bangalore",New BEL Road,https://www.zomato.com/bangalore/chapter-one-bar-maiin-new-bel-road-bangalore/info,10:30am – 12:30am (Today),4706,4.3,4.4,312
152,153,Dhaba - Estd 1986 Delhi,"North Indian, Mughlai, Desserts, Paan",1500,North Indian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/dhaba-estd-1986-delhi-marathahalli-bangalore/info,12noon – 11:30pm (Today),5422,4.3,3.7,6875
153,154,North Star Cafe,"Cafe, Bakery, Beverages, Desserts, Continental, Healthy Food",800,Cafe," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/north-star-cafe-hsr-bangalore/info,"12midnight – 1am, 8am – 12midnight (Today)",527,4.5,4.3,53
154,155,Pincode 24 Bar & Bistro,"Bar Food, Continental, North Indian, Burger, Sandwich, Panini, Beverages",1000,Bar Food," Hebbal, Bangalore",Hebbal,https://www.zomato.com/bangalore/pincode-24-bar-bistro-hebbal-bangalore/info,12noon – 12midnight (Today),239,4.5,0.0,0
155,156,House Of Commons,"Bar Food, Fast Food, North Indian, Continental, Seafood, Italian, Chinese, Desserts",1200,Bar Food," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/house-of-commons-hsr-bangalore/info,10:30am – 1am (Today),16200,4.5,4.0,1336
156,157,Arbor Brewing Company,"American, Continental, Fast Food, Beverages",1800,American," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/ArborBrewIndia/info,12noon – 11:30pm (Today),9471,4.6,4.1,148
157,158,Gilly's Restobar,"Seafood, North Indian, Pizza, Burger, Oriental, Italian, Fast Food",1900,Seafood," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/gillys-restobar-1-marathahalli-bangalore/info,12noon – 12midnight (Today),3961,4.0,3.8,62
158,159,Hangover Brewery,"Continental, North Indian, Chinese, Finger Food, Burger, Pizza, Desserts",2000,Continental," Koramangala 7th Block, Bangalore",Koramangala 7th Block,https://www.zomato.com/bangalore/hangover-brewery-koramangala-7th-block-bangalore/info,12noon – 1am (Today),876,4.0,0.0,4
159,160,Barbecue By Punjab Grill,"BBQ, Mughlai, North Indian, Salad, Desserts",1600,BBQ," Mantri Square, Malleshwaram, Bangalore",Mantri Square,https://www.zomato.com/bangalore/barbecue-by-punjab-grill-malleshwaram-bangalore/info,12noon – 11:30pm (Today),4414,4.2,3.8,370
160,161,The Persian Terrace - Sheraton Grand Bangalore Hotel at Brigade Gateway,"Iranian, Mediterranean, Afghan, Seafood, Desserts",3500,Iranian," Sheraton Grand Bangalore, Brigade Gateway, Bangalore",Sheraton Grand Bangalore,https://www.zomato.com/bangalore/the-persian-terrace-sheraton-grand-bangalore-hotel-at-brigade-gateway-malleshwaram/info,6pm – 11:30pm (Today),1387,4.1,0.0,0
161,162,Horizon,"Chinese, Japanese, Asian, Salad, Thai, Desserts, Beverages",3000,Chinese," World Trade Center, Bangalore",World Trade Center,https://www.zomato.com/bangalore/horizon-1-malleshwaram-bangalore/info,Opens tomorrow at 12:30pm,462,4.4,0.0,0
162,163,Ishaara,"North Indian, Mughlai, Kebab, Biryani",2500,North Indian," Phoenix Mall of Asia, Hebbal, Bengaluru, Bangalore",Phoenix Mall of Asia,https://www.zomato.com/bangalore/ishaara-hebbal-bangalore/info,Opens tomorrow at 10:30am,315,4.5,3.8,14
163,164,Flechazo,"North Indian, Chinese, Pizza, Continental, Fast Food, Desserts, Shake, Beverages",1000,North Indian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/flechazo-1-marathahalli-bangalore/info,Opens tomorrow at 11:30am,9622,4.3,3.1,21
164,165,Kampot,"Vietnamese, Asian, Chinese, Desserts, Beverages, Salad, Korean",1800,Vietnamese," RMZ Ecoworld, Bellandur, Bangalore",RMZ Ecoworld,https://www.zomato.com/bangalore/kampot-bellandur-bangalore/info,Opens tomorrow at 12noon,415,4.3,3.8,18
165,166,Samosa Party,"Street Food, Tea, North Indian, Desserts, Mithai, Beverages",200,Street Food," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/samosa-party-1-hsr-bangalore/info,24 Hours (Today),77,3.9,4.2,2577
166,167,Levels Pub & Kitchen,"Asian, South Indian, North Indian",1700,Asian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/levels-pub-kitchen-jp-nagar-bangalore/info,12noon – 11:30pm (Today),6089,4.4,4.3,801
167,168,Sashay-Taproom Kitchen,"Asian, Modern Indian, Continental, Sushi, North Indian, Chinese, Desserts, Beverages",2000,Asian," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/sashay-taproom-kitchen-whitefield-bangalore/info,12noon – 12midnight (Today),7939,4.8,0.0,0
