,Resturent_id,Restaurant,Restaurant_Type,Price_For_Two,Location,Link,Timing,Dining_Review_Count,Dining_Rating,Delivery_Rating,Delivery_Review_count,Price per Person,Rating Category,Total Review Count,Popularity score,price range category
351,351,MoMo Cafe - Courtyard By Marriott,"North Indian, Asian, Fast Food, Continental, Italian, Desserts, Beverages",2800," Courtyard by Marriott, Bellandur, Bangalore",https://www.zomato.com/bangalore/momo-cafe-courtyard-by-marriott-bellandur-bangalore/info,Opens tomorrow at 7am,786,4.0,3.7,114,1400,Good,900,3601.0,High
352,352,The Sauce Code,"Pasta, Continental, Asian, Italian, Desserts",1200," RMZ Ecoworld, Bellandur, Bangalore",https://www.zomato.com/bangalore/the-sauce-code-bellandur-bangalore/info,11:30am â€“ 11:30pm (Today),40,3.8,4.0,125,600,Average,165,628.0,Medium
353,353,SodaBottleOpenerWala,"Parsi, North Indian, Street Food, Desserts, Beverages",1800," Lavelle Road, Bangalore",https://www.zomato.com/bangalore/sodabottleopenerwala-lavelle-road-bangalore/info,Opens tomorrow at 12noon,"4,706",4.4,4.2,"1,838",900,Good,6544,28794.6,Medium
354,354,Table For Tous,"Cafe, Bakery, Coffee, Desserts",750," HSR, Bangalore",https://www.zomato.com/TableForTous/info,Opens tomorrow at 10am,147,4.9,4.4,"1,940",375,Excellent,2087,10227.3,Low
355,355,Cafe Azzure,"Cafe, Continental, Mexican, Italian, Fast Food, Desserts, Beverages",1400," HSR, Bangalore",https://www.zomato.com/bangalore/cafe-azzure-hsr-bangalore/info,11:30am â€“ 11:30pm (Today),"1,829",3.5,3.6,292,700,Average,2121,7424.5,Medium
356,356,Pind Balluchi,"North Indian, Mughlai, Fast Food, Biryani, Desserts",950," Forum Neighbourhood Mall, Whitefield, Bangalore",https://www.zomato.com/bangalore/pind-balluchi-varthur-main-road-whitefield-bangalore/info,Opens tomorrow at 11:30am,"1,241",3.9,3.9,"2,123",475,Average,3364,13120.6,Low
357,357,Saarai,"Andhra, Asian",1500," Jayanagar, Bangalore",https://www.zomato.com/bangalore/saarai-jayanagar-bangalore/info,Opens tomorrow at 12noon,225,4.5,0.0,0,750,Excellent,225,1013.5,Medium
358,358,Zoey's,"Burger, Beverages, Continental, Pasta, Chinese, Sandwich, Cafe, Desserts",700," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/zoeys-sarjapur-road/info,Opens tomorrow at 11am,"1,301",4.2,4.3,"5,747",350,Good,7048,29602.6,Low
359,359,Barkaas Indo Arabic Restaurant,"Arabian, North Indian, Biryani, Mandi, Desserts",1000," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/barkaas-indo-arabic-restaurant-1-koramangala-5th-block-bangalore/info,"12midnight â€“ 2am, 12noon â€“ 12midnight (Today)",153,4.1,0.0,0,500,Good,153,628.3,Low
360,360,Gully Coffee Roasters,"Cafe, Coffee, Pasta, Burger, Continental, Pancake",700," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/gully-coffee-roasters-1-koramangala-5th-block-bangalore/info,Opens tomorrow at 11am,79,4.3,0.0,0,350,Good,79,340.7,Low
361,361,Dobaraa,"Continental, North Indian, Salad, Desserts",1200," Phoenix Mall of Asia, Hebbal, Bengaluru, Bangalore",https://www.zomato.com/bangalore/dobaraa-hebbal-bangalore/info,12noon â€“ 12midnight (Today),146,0.0,0.0,0,600,Below Average,146,1.0,Medium
362,362,Bhola & Blonde,"North Indian, Lucknowi, Mughlai, Biryani, Fast Food, Desserts",1900," Indiranagar, Bangalore",https://www.zomato.com/bangalore/bhola-blonde-indiranagar-bangalore/info,12noon â€“ 1am (Today),"1,444",3.9,2.9,31,950,Average,1475,5753.5,Medium
363,363,Oota Bangalore,"Mangalorean, South Indian, Salad, Desserts",1200," Craftworks, Bangalore",https://www.zomato.com/bangalore/oota-bangalore-whitefield/info,Opens tomorrow at 12noon,966,4.9,4.3,"1,148",600,Excellent,2114,10359.6,Medium
364,364,Suzy Q,"North Indian, Seafood, Continental, Asian, Chinese, Desserts, Beverages",2300," Cunningham Road, Bangalore",https://www.zomato.com/bangalore/suzy-q-cunningham-road-bangalore/info,12noon â€“ 12midnight (Today),683,4.3,4.2,283,1150,Good,966,4154.8,High
365,365,The French Treaty,"Cafe, Coffee, French, Desserts, Beverages",1000," Yelahanka, Bangalore",https://www.zomato.com/bangalore/the-french-treaty-1-yelahanka-bangalore/info,Opens tomorrow at 9am,38,3.5,0.0,0,500,Average,38,134.0,Low
366,366,Kuuraku,"Japanese, Rolls, Beverages",1500," Forum Rex Walk, Bangalore",https://www.zomato.com/bangalore/kuuraku-brigade-road-bangalore/info,Opens tomorrow at 12noon,225,4.6,4.7,87,750,Excellent,312,1436.2,Medium
367,367,Kebarbiq Restaurant,"BBQ, Arabian, Continental, North Indian, Middle Eastern, Chinese, Beverages",1400," HSR, Bangalore",https://www.zomato.com/bangalore/kebarbiq-restaurant-hsr-bangalore/info,11:30am â€“ 11:30pm (Today),767,4.0,4.2,"3,498",700,Good,4265,17061.0,Medium
368,368,NH8,"North Indian, Rajasthani",1200," Indiranagar, Bangalore",https://www.zomato.com/bangalore/nh8-indiranagar/info,Opens tomorrow at 12noon,"4,020",4.1,4.0,"3,126",600,Good,7146,29299.6,Medium
369,369,The Local,"Pizza, Continental, Burger, Seafood, Kerala, Finger Food, Beverages",1600," Kalyan Nagar, Bangalore",https://www.zomato.com/bangalore/the-local-kalyan-nagar-bangalore/info,11am â€“ 1am (Today),"2,782",4.3,4.4,905,800,Good,3687,15855.1,Medium
370,370,Tiger Yaki,"Korean, Japanese",1000," St. Marks Road, Bangalore",https://www.zomato.com/bangalore/tiger-yaki-st-marks-road-bangalore/info,12noon â€“ 12midnight (Today),27,3.4,0.0,0,500,Average,27,92.8,Low
371,371,The Fatty Bao,"Asian, Sushi, Japanese, Chinese",1400," Indiranagar, Bangalore",https://www.zomato.com/bangalore/the-fatty-bao-indiranagar-bangalore/info,Opens tomorrow at 12noon,"4,499",4.5,4.3,"5,580",700,Excellent,10079,45356.5,Medium
372,372,Barkaas- Arabic Restaurant,"Arabian, North Indian, Mughlai, Shawarma, Fast Food, Mandi, Desserts, Beverages",1300," Marathahalli, Bangalore",https://www.zomato.com/bangalore/barkaas-arabic-restaurant-marathahalli-bangalore/info,Opens tomorrow at 11:30am,"1,060",4.0,3.3,"2,310",650,Good,3370,13481.0,Medium
373,373,Plaka By Chef Ajay Chopra,"Italian, North Indian, Mediterranean, Pizza, Continental, Asian, Coffee",1800," Phoenix Mall of Asia, Hebbal, Bengaluru, Bangalore",https://www.zomato.com/bangalore/plaka-by-chef-ajay-chopra-sahakara-nagar-bangalore/info,Opens tomorrow at 12:15pm,152,4.1,4.0,7,900,Good,159,652.9,Medium
374,374,Lavonne,"Cafe, Tea, Beverages, Bakery, Continental, Pasta, Salad, Fast Food",1300," Indiranagar, Bangalore",https://www.zomato.com/bangalore/lavonne-indiranagar/info,Opens tomorrow at 8:30am,"1,800",4.5,4.5,908,650,Excellent,2708,12187.0,Medium
375,375,1 BHK - Bar House Kitchen,"Continental, Italian, Pizza, Sandwich, Desserts, Shake, Beverages",1400," Koramangala 6th Block, Bangalore",https://www.zomato.com/bangalore/1-bhk-bar-house-kitchen-1-koramangala-6th-block-bangalore/info,12noon â€“ 12midnight (Today),623,4.3,4.2,81,700,Good,704,3028.2,Medium
376,376,Andrea's Brasserie,"Pizza, Pasta, Asian, Salad, Desserts, Sushi, Beverages, Burger",1600," Phoenix Mall of Asia, Hebbal, Bengaluru, Bangalore",https://www.zomato.com/bangalore/andreas-brasserie-yelahanka-bangalore/info,Opens tomorrow at 12noon,241,4.5,4.4,85,800,Excellent,326,1468.0,Medium
377,377,Little Italy,"Italian, Pizza, Pasta, Continental, Desserts, Healthy Food, Beverages",2300," Indiranagar, Bangalore",https://www.zomato.com/bangalore/little-italy-indiranagar/info,Opens tomorrow at 12noon,"4,076",4.0,3.7,"1,019",1150,Good,5095,20381.0,High
378,378,Enne,"South Indian, Andhra, Seafood, Biryani, Continental",1000," Malleshwaram, Bangalore",https://www.zomato.com/bangalore/enne-malleshwaram-bangalore/info,Opens tomorrow at 1pm,619,3.9,3.5,26,500,Average,645,2516.5,Low
379,379,Marbella Sky Lounge,"Continental, North Indian, Asian, Beverages",2500," Jayanagar, Bangalore",https://www.zomato.com/bangalore/marbella-sky-lounge-jayanagar-bangalore/info,11am â€“ 1am (Today),53,3.9,0.0,0,1250,Average,53,207.7,High
380,380,Cha Hong Kong Eating House,"Asian, Chinese",1000," Hebbal, Bangalore",https://www.zomato.com/bangalore/cha-hong-kong-eating-house-hebbal-bangalore/info,12noon â€“ 11:30pm (Today),303,4.5,0.0,0,500,Excellent,303,1364.5,Low
381,381,Daily Sushi,"Sushi, Japanese, Korean, Asian, Beverages",950," Indiranagar, Bangalore",https://www.zomato.com/bangalore/daily-sushi-1-indiranagar-bangalore/info,12noon â€“ 12midnight (Today),852,4.4,4.3,"1,377",475,Good,2229,9808.6,Low
382,382,Cuppa Redefined,"Cafe, American, Burger, Healthy Food, Salad, Fast Food, Desserts, Beverages",700," HSR, Bangalore",https://www.zomato.com/bangalore/cuppa-redefined-hsr-bangalore/info,Opens tomorrow at 8am,645,4.3,3.8,438,350,Good,1083,4657.9,Low
383,383,Truffles,"Burger, Italian, Desserts, Continental, American, Fast Food, Beverages",1100," Indiranagar, Bangalore",https://www.zomato.com/bangalore/truffles-indiranagar/info,"12midnight â€“ 1am, 9am â€“ 12midnight (Today)","2,360",4.4,4.2,10.8K,550,Good,13160,57905.0,Medium
