,Restaurant,Rating,Restaurant_Type,Price_For_Two,Location,Link,Timing,Dining_Review,Dining_Rating,Delivery_Rating,Delivery_Review
48,21st Amendment Gastrobar,,"North Indian, Fast Food, Chinese, Bar Food, Sichuan, Beverages",1700," Indiranagar, Bangalore",https://www.zomato.com/bangalore/21st-amendment-gastrobar-indiranagar-bangalore/info,12noon – 12midnight (Today),"4,902",4.3,3.4,42
49,Hoot,,"Continental, Italian, North Indian, Beverages",2000," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/hoot-sarjapur-road/info,12noon – 12:30am (Today),13.5K,4.2,3.7,500
50,Maffei Kitchen,,"Lebanese, Greek, Moroccan, Desserts, Beverages",1700," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/maffei-kitchen-1-koramangala-5th-block-bangalore/info,12noon – 11:30pm (Today),674,4.7,4.0,435
51,Muro,,"Thai, Cantonese",3000," Church Street, Bangalore",https://www.zomato.com/bangalore/muro-church-street-bangalore/info,"12midnight – 1am, 12noon – 11:45pm (Today)",292,4.1,0.0,0
52,No Limmits Lounge And Club,,"Chinese, Continental, North Indian, Fast Food, Pizza, Beverages",2500," Brigade Road, Bangalore",https://www.zomato.com/bangalore/no-limmits-lounge-and-club-brigade-road-bangalore/info,11am – 1am (Today),"4,522",3.8,0.0,0
53,Mykos Craft Kitchen & Bar,,"Continental, Greek, Asian, Mediterranean, North Indian",1600," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/mykos-craft-kitchen-bar-bannerghatta-road-bangalore/info,12noon – 12midnight (Today),"2,273",4.3,0.0,0
54,Terrace By House Of Commons,,"Modern Indian, Continental, Asian, Chinese, North Indian, Seafood, Bar Food, Beverages",2000," JP Nagar, Bangalore",https://www.zomato.com/bangalore/terrace-by-house-of-commons-jp-nagar-bangalore/info,11am – 1am (Today),"3,966",4.6,0.0,0
55,Sky Garden,,"Continental, North Indian, Pizza, Asian, Pasta, Chinese, Desserts, Beverages",2000," Whitefield, Bangalore",https://www.zomato.com/bangalore/sky-garden-whitefield-bangalore/info,11am – 12midnight (Today),"4,459",4.1,3.7,71
56,Ministry of Food - Hilton Bangalore Embassy GolfLinks,,"Asian, Continental, Italian, North Indian, Mughlai, Desserts, Beverages",3500," Hilton Bangalore Embassy GolfLinks, Domlur, Bangalore",https://www.zomato.com/bangalore/ministry-of-food-hilton-bangalore-embassy-golflinks-domlur-bangalore/info,7am – 11pm (Today),"1,261",3.9,4.3,222
57,Biergarten,,"Continental, European, BBQ, Chinese, Asian, Beverages",2500," Bellandur, Bangalore",https://www.zomato.com/bangalore/biergarten-bellandur-bangalore/info,12noon – 12midnight (Today),794,4.3,0.0,0
58,Kappa Chakka Kandhari,,"Kerala, South Indian, Desserts, Beverages",1800," Koramangala 6th Block, Bangalore",https://www.zomato.com/bangalore/kappa-chakka-kandhari-koramangala-6th-block-bangalore/info,Opens tomorrow at 12noon,715,4.3,0.0,0
59,High Ultra Lounge - Sheraton Grand Bangalore Hotel,,"North Indian, Continental, Finger Food, Desserts",3600," Sheraton Grand Bangalore, Brigade Gateway, Bangalore",https://www.zomato.com/bangalore/high-ultra-lounge-sheraton-grand-bangalore-hotel-malleshwaram-bangalore/info,4pm – 1am (Today),"6,687",4.3,0.0,0
60,Three Dots & A Dash,,"Bar Food, North Indian, Chinese, Continental, Italian, Fast Food, Desserts, Beverages",1800," Indiranagar, Bangalore",https://www.zomato.com/bangalore/three-dots-a-dash-indiranagar-bangalore/info,12noon – 12midnight (Today),"6,641",4.0,0.0,1
61,Aurum Brew Works,,"North Indian, Continental, Asian, Beverages, Desserts",1500," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/aurum-brew-works-sarjapur-road-bangalore/info,12noon – 12:30am (Today),"6,180",4.3,4.0,"1,721"
62,Shokudo,,"Japanese, Thai, Chinese, Asian, Sushi, Desserts, Beverages, Korean",1500," Jayanagar, Bangalore",https://www.zomato.com/bangalore/shokudo-jayanagar-bangalore/info,12noon – 11pm (Today),372,4.0,3.6,220
63,Stories Brewery & Kitchen,,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts",1600," BTM, Bangalore",https://www.zomato.com/bangalore/stories-brewery-kitchen-btm-bangalore/info,12noon – 1am (Today),12.1K,4.4,4.2,508
64,Zen - The Leela Palace,,"Thai, Japanese, Chinese, Rolls",3500," The Leela Palace, Old Airport Road, Bangalore",https://www.zomato.com/bangalore/zen-the-leela-palace-airport-road/info,Opens tomorrow at 12noon,350,4.1,0.0,0
65,Macaw By Stories,,"South Indian, North Indian, Chinese, Pasta, Pizza, Fast Food, Salad, Desserts",1800," Bommanahalli, Bangalore",https://www.zomato.com/bangalore/macaw-by-stories-bommanahalli-bangalore/info,12noon – 1am (Today),"2,907",4.2,3.8,31
66,Ganbeii,,"Kerala, Continental, Asian, Pizza, Pasta, Burger, North Indian",1000," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/ganbeii-koramangala-5th-block-bangalore/info,11am – 12midnight (Today),210,4.4,0.0,1
67,Sarjapur SOCIAL,,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Desserts, Beverages",1500," Sarjapur Road, Bangalore",https://www.zomato.com/SarjapurSocial/info,10am – 1am (Today),"4,743",4.4,3.9,"3,600"
68,Bamey's Gastro Bar,,"Nepalese, Chinese, North Indian, Momos, Bar Food, Asian, Desserts, Tibetan",1000," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/bameys-gastro-bar-1-koramangala-5th-block-bangalore/info,12:30pm – 12midnight (Today),341,4.3,0.0,0
69,Toit,,"Italian, American, European, Continental, Desserts",2500," Indiranagar, Bangalore",https://www.zomato.com/bangalore/toit-indiranagar/info,8:30am – 1am (Today),16.5K,4.9,4.4,"1,073"
70,By Chance,,"Italian, Continental",1500," Brigade Road, Bangalore",https://www.zomato.com/bangalore/by-chance-1-brigade-road-bangalore/info,12noon – 1am (Today),77,4.2,0.0,0
71,Bramble,,"Continental, Asian, North Indian, Italian, Bar Food, Beverages",1800," Jayanagar, Bangalore",https://www.zomato.com/bangalore/bramble-jayanagar-bangalore/info,12noon – 1am (Today),"3,660",4.4,0.0,4
72,1131 Bar + Kitchen By House Of Commons,,"Finger Food, North Indian, Continental, Chinese, Italian, Asian, Desserts, Beverages",2200," Indiranagar, Bangalore",https://www.zomato.com/bangalore/1131-bar-kitchen-by-house-of-commons-indiranagar-bangalore/info,10:30am – 1am (Today),11.4K,4.5,4.1,411
73,Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,,"North Indian, Continental, Fast Food, Asian, Beverages",3500," Sheraton Grand Bangalore, Brigade Gateway, Bangalore",https://www.zomato.com/bangalore/feast-sheraton-grand-bangalore-hotel-at-brigade-gateway-malleshwaram-bangalore/info,"6:30am – 10:30am, 12:30pm – 3:30pm, 7pm – 11pm (Today)","2,485",4.5,3.7,114
74,K-OS TheGameBar,,"Continental, Italian, North Indian, Finger Food, Asian, Fast Food",1700," Koramangala 7th Block, Bangalore",https://www.zomato.com/bangalore/k-os-thegamebar-koramangala-7th-block-bangalore/info,12noon – 12midnight (Today),958,4.3,4.0,21
75,Indian Biere House,,"Continental, Mediterranean, North Indian, Asian, Bar Food, Italian, Desserts, Beverages",2500," JP Nagar, Bangalore",https://www.zomato.com/bangalore/indian-biere-house-jp-nagar-bangalore/info,12noon – 12midnight (Today),"5,978",4.5,0.0,1
76,Mayuri,,"Andhra, Biryani, North Indian, Chinese, Desserts",1200," JP Nagar, Bangalore",https://www.zomato.com/bangalore/mayuri-1-jp-nagar-bangalore/info,"12noon – 4pm, 7pm – 11pm (Today)","2,481",4.5,4.1,"3,317"
77,Pizza 4P's,,Pizza,1000," Indiranagar, Bangalore",https://www.zomato.com/bangalore/pizza-4ps-indiranagar-bangalore/info,12noon – 12midnight (Today),76,4.4,0.0,0
78,Chowman,,"Chinese, Thai, Asian, Seafood, Sichuan, Desserts, Beverages",1400," Indiranagar, Bangalore",https://www.zomato.com/bangalore/chowman-indiranagar-bangalore/info,"11am – 5pm, 5:45pm – 12midnight (Today)","3,566",4.5,4.2,"9,019"
79,Taproom By Sherlock's,,"North Indian, Oriental, Continental, Biryani, Pizza, Pasta, Desserts, Beverages",1800," JP Nagar, Bangalore",https://www.zomato.com/bangalore/taproom-by-sherlocks-jp-nagar-bangalore/info,12noon – 12midnight (Today),"7,523",4.3,3.0,106
80,Nomad PizzaBar,,"Pizza, Italian",1000," Indiranagar, Bangalore",https://www.zomato.com/bangalore/nomad-pizzabar-indiranagar-bangalore/info,11am – 11pm (Today),659,4.5,0.0,1
81,Red Rhino,,"Continental, North Indian, Asian, Oriental, Mediterranean, Mangalorean, Beverages, Desserts",2000," Whitefield, Bangalore",https://www.zomato.com/bangalore/red-rhino-whitefield-bangalore/info,12noon – 12midnight (Today),10.8K,4.4,4.1,"6,899"
82,Butterfly Brew Bite & Fly,,"North Indian, Continental, Pizza, Italian, Asian, Desserts, Beverages",1500," JP Nagar, Bangalore",https://www.zomato.com/bangalore/butterfly-brew-bite-fly-jp-nagar-bangalore/info,12noon – 1am (Today),"3,489",4.2,0.0,0
83,TYD,,"Asian, European, Sushi, Continental, Italian, Mexican, Beverages, Desserts",1900," Hennur, Bangalore",https://www.zomato.com/bangalore/tyd-1-hennur-bangalore/info,12noon – 11:45pm (Today),"1,364",4.4,3.9,76
84,Raahi,,"North Indian, Pasta, Pizza, Desserts, Beverages",2000," St. Marks Road, Bangalore",https://www.zomato.com/bangalore/raahi-st-marks-road-bangalore/info,12noon – 11:30pm (Today),"1,728",4.2,4.4,261
85,Backstreet Brewery,,"Italian, Bar Food, Pizza, North Indian, Asian, Desserts, Beverages",1800," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/backstreet-brewery-sarjapur-road-bangalore/info,"12midnight – 1am, 12:30pm – 12midnight (Today)","6,341",4.4,4.2,528
86,Daddy,,"Continental, North Indian, Asian, Italian, Chinese, European, Bar Food, Beverages",1700," Indiranagar, Bangalore",https://www.zomato.com/bangalore/daddy-indiranagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)","8,318",4.3,4.2,143
87,Hard Rock Cafe,,"American, Continental, Burger, Sandwich, Fast Food, Desserts, Beverages",2500," St. Marks Road, Bangalore",https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road/info,12noon – 1am (Today),"8,294",4.6,3.7,314
88,The Black Pearl,,"BBQ, North Indian, Biryani",2100," Kadubeesanahalli, Bangalore",https://www.zomato.com/bangalore/the-black-pearl-kadubeesanahalli-bangalore/info,"11:30am – 4:30pm, 6:30pm – 11:30pm (Today)",18.3K,4.2,3.7,108
89,Pangeo,,"Sushi, Continental, Mediterranean, Pizza, Pasta, North Indian, Desserts, Asian",3500," Forum Rex Walk, Bangalore",https://www.zomato.com/bangalore/pangeo-brigade-road-bangalore/info,12noon – 1am (Today),"2,008",4.5,0.0,0
90,Oyster Bar & Kitchen,,"Continental, Bar Food, Chinese, North Indian, Beverages, Desserts",1600," HSR, Bangalore",https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore/info,12noon – 1am (Today),17.5K,4.5,3.9,612
91,Float Brewery,,"Bar Food, Continental, Italian, Asian, North Indian, Desserts, Pizza, Beverages",1500," Kalyan Nagar, Bangalore",https://www.zomato.com/bangalore/float-brewery-kalyan-nagar-bangalore/info,12noon – 12midnight (Today),"6,274",4.4,4.2,121
92,Big Pitcher,,"North Indian, Continental, Mughlai, Chinese, Italian, Biryani, Desserts, Beverages",1800," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/big-pitcher-sarjapur-road-bangalore/info,11am – 1am (Today),"4,961",4.5,3.6,"1,363"
93,Zodiac Bar & Kitchen,,"Continental, North Indian, Pizza, Italian, Chinese, Fast Food, Biryani, Desserts",1800," Brookefield, Bangalore",https://www.zomato.com/bangalore/zodiac-bar-kitchen-brookefield-bangalore/info,12noon – 12midnight (Today),"3,616",4.3,0.0,1
94,Brahma Brews,,"Asian, North Indian, South Indian",2500," JP Nagar, Bangalore",https://www.zomato.com/bangalore/brahma-brews-jp-nagar-bangalore/info,12noon – 12midnight (Today),11.9K,4.5,4.3,"1,888"
95,Street 1522,,"North Indian, Asian, Seafood, Continental, Mughlai, Kebab, Street Food, Beverages",2200," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/street-1522-sarjapur-road-bangalore/info,12noon – 1am (Today),"5,765",4.3,4.3,33
96,TBC- Sky Lounge,,"Continental, Italian, Asian, North Indian, South Indian, Biryani, Desserts, Beverages",1500," HSR, Bangalore",https://www.zomato.com/bangalore/tbc-sky-lounge-hsr-bangalore/info,12noon – 1am (Today),21.2K,4.5,3.7,384
97,Miso Sexy,,"Japanese, Chinese, Sushi, Beverages",1800," Indiranagar, Bangalore",https://www.zomato.com/bangalore/miso-sexy-indiranagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)","4,349",4.3,4.0,27
98,Amintiri,,"Desserts, Bakery, Fast Food, Beverages, Pasta, Italian, Cafe, Finger Food",1100," Church Street, Bangalore",https://www.zomato.com/bangalore/amintiri-church-street-bangalore/info,8:30am – 11:30pm (Today),449,4.4,0.0,0
99,Fox In The Field,,"Modern Indian, Continental, North Indian, Pizza, American, Italian, Desserts, Beverages",2000," Nexus Shantiniketan, Whitefield, Bangalore",https://www.zomato.com/bangalore/fox-in-the-field-whitefield-bangalore/info,12noon – 12midnight (Today),"6,567",4.2,3.9,281
100,JW Kitchen - JW Marriott Bengaluru,,"North Indian, Continental, Mughlai, Beverages, Desserts, Asian",5000," JW Marriott Bengaluru, Lavelle Road, Bangalore",https://www.zomato.com/bangalore/jw-kitchen-jw-marriott-bengaluru-lavelle-road/info,6:30am – 11pm (Today),"2,868",4.2,3.7,264
101,Orah Brew Garden,,"Asian, Continental, Desserts, European, Modern Indian",1300," Yelahanka, Bangalore",https://www.zomato.com/bangalore/orah-brew-garden-yelahanka-bangalore/info,11:30am – 12midnight (Today),"2,394",4.3,0.0,1
102,The Scene - Craft Kitchen & Bar,,"North Indian, Continental, Asian, Desserts, Beverages",1500," JP Nagar, Bangalore",https://www.zomato.com/bangalore/the-scene-craft-kitchen-bar-jp-nagar-bangalore/info,12noon – 12midnight (Today),"1,319",4.2,0.0,0
103,The Pump House,,"Continental, Chinese, North Indian, Italian, Asian, Salad, Pizza, Desserts",1600," JP Nagar, Bangalore",https://www.zomato.com/bangalore/the-pump-house-1-jp-nagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)","6,315",4.4,3.7,423
104,Gold Rush Brews,,"North Indian, Italian, Asian, Continental, American, South Indian, Beverages, Desserts",1900," KR Puram, Bangalore",https://www.zomato.com/bangalore/gold-rush-brews-kr-puram-bangalore/info,12noon – 1am (Today),"6,341",4.4,3.6,302
105,The Creek - The Den Bengaluru,,"North Indian, South Indian, Asian, Pizza, Desserts",3000," The Den, Whitefield, Bangalore",https://www.zomato.com/bangalore/the-creek-the-den-bengaluru-whitefield/info,12:15am – 11:45pm (Today),"1,261",4.1,0.0,0
106,Jamming Goat 3.0,,"North Indian, Asian, Desserts",1500," JP Nagar, Bangalore",https://www.zomato.com/bangalore/jamming-goat-3-0-jp-nagar-bangalore/info,12noon – 11pm (Today),"1,139",4.3,4.0,25
